Jacob Salazar, jacob.salazar@uwaterloo.ca, quartzumbrellabat76
Kyle Mason, kyle.mason@uwaterloo.ca, valleynectarinecloud21
Isabella Roberts, isabella.roberts@uwaterloo.ca, monkeyquailzebra69
Jean Mendez, jean.mendez@uwaterloo.ca, riverkettlefig93
Adam Richardson, adam.richardson1@uwaterloo.ca, zephyrwindzebra24
Sara Howard, sara.howard@uwaterloo.ca, oceanyakorange28
Diana Ramos, diana.ramos@uwaterloo.ca, quartzvultureapple70
Diana Wallace, diana.wallace@uwaterloo.ca, valleymonkeyquartz67
Sara Miller, sara.miller@uwaterloo.ca, jungleumbrellacherry33
Joseph Hughes, joseph.hughes@uwaterloo.ca, strawberrymonkeyearth53
Carolyn Turner, carolyn.turner@uwaterloo.ca, mangocherryvanilla64
Ashley White, ashley.white@uwaterloo.ca, kangarooelephantkiwi99
Larry Myers, larry.myers@uwaterloo.ca, sandcherrykiwi48
James Patterson, james.patterson@uwaterloo.ca, junglecherryvalley38
Stephanie Wagner, stephanie.wagner@uwaterloo.ca, quaillionurchin43
Bobby Jackson, bobby.jackson@uwaterloo.ca, kiwivanillahill19
Jessica Foster, jessica.foster@uwaterloo.ca, sharkicestrawberry50
Ann Boyd, ann.boyd@uwaterloo.ca, dateturtlecat39
Katherine Meyer, katherine.meyer@uwaterloo.ca, dogowlvulture72
Joseph Adams, joseph.adams@uwaterloo.ca, peakyawngrape47
Virginia Murphy, virginia.murphy@uwaterloo.ca, orangemountainelderberry78
Tyler Kennedy, tyler.kennedy@uwaterloo.ca, kangarooiguanahill68
Kimberly Mendez, kimberly.mendez1@uwaterloo.ca, dogmountainstrawberry15
Megan Foster, megan.foster@uwaterloo.ca, sandgoatrabbit56
Linda Nguyen, linda.nguyen@uwaterloo.ca, yawnautumnmango88
Nicole Reed, nicole.reed@uwaterloo.ca, batelderberryyak30
Stephanie Ellis, stephanie.ellis@uwaterloo.ca, windquincemango29
Lauren Rodriguez, lauren.rodriguez@uwaterloo.ca, lemonrabbitkangaroo43
Debra Castillo, debra.castillo@uwaterloo.ca, vulturejunglevanilla66
Frank Fernandez, frank.fernandez@uwaterloo.ca, applevalleydate77
Margaret Sanchez, margaret.sanchez@uwaterloo.ca, orangequinceflower80
Carol Crawford, carol.crawford@uwaterloo.ca, autumnjellyfishfrog39
Evelyn Jones, evelyn.jones@uwaterloo.ca, hillsandquail47
Gary Porter, gary.porter@uwaterloo.ca, quartzmountainquartz37
Henry Hicks, henry.hicks@uwaterloo.ca, lakeelderberrymonkey88
Amy Black, amy.black@uwaterloo.ca, antlionxerus18
Michelle Graham, michelle.graham@uwaterloo.ca, kettlestrawberryzucchini60
Ryan Long, ryan.long@uwaterloo.ca, treesandelderberry59
Jeffrey Bennett, jeffrey.bennett@uwaterloo.ca, flowertreetangerine23
Karen Wright, karen.wright@uwaterloo.ca, whalekettleflower81
Randy Crawford, randy.crawford@uwaterloo.ca, icehoneydewpapaya41
Virginia Martin, virginia.martin@uwaterloo.ca, bananauglipenguin50
Sharon Chen, sharon.chen@uwaterloo.ca, whalekangaroolion10
Gary Rogers, gary.rogers@uwaterloo.ca, xerusvanillafig63
Charlotte Collins, charlotte.collins@uwaterloo.ca, penguinhorsebreeze87
Kenneth Woods, kenneth.woods@uwaterloo.ca, newtdewpenguin81
Martha Dixon, martha.dixon@uwaterloo.ca, goatmangovanilla78
Dylan Lopez, dylan.lopez@uwaterloo.ca, urchinzephyryawn90
Ann Bailey, ann.bailey@uwaterloo.ca, vanillayakcat65
Lawrence Simpson, lawrence.simpson@uwaterloo.ca, kettletangerinedate63
Jordan Salazar, jordan.salazar@uwaterloo.ca, zucchinicloudgrape34
Roger Harrison, roger.harrison@uwaterloo.ca, raspberryraspberrypapaya90
Melissa Holmes, melissa.holmes@uwaterloo.ca, rabbitgoatwind49
Samuel Rice, samuel.rice@uwaterloo.ca, peakflowermango78
Marilyn Washington, marilyn.washington@uwaterloo.ca, xylophoneautumncloud54
Frances Ellis, frances.ellis@uwaterloo.ca, catsandocean56
Virginia Chavez, virginia.chavez@uwaterloo.ca, newtpenguinelephant36
Janice Romero, janice.romero1@uwaterloo.ca, goatraspberrycherry88
Dylan Aguilar, dylan.aguilar@uwaterloo.ca, strawberrygoatpeak51
Wayne Hunt, wayne.hunt@uwaterloo.ca, bananapapayakiwi20
Edward Simpson, edward.simpson@uwaterloo.ca, yellownightnight59
Theresa Munoz, theresa.munoz@uwaterloo.ca, zucchinilemonxerus65
Lauren Walker, lauren.walker@uwaterloo.ca, frogfrogshark52
Michael Cruz, michael.cruz@uwaterloo.ca, quailwinddog95
Brandon Vasquez, brandon.vasquez@uwaterloo.ca, quartzquailcat69
Judith Diaz, judith.diaz@uwaterloo.ca, earthcathorse93
Deborah Reyes, deborah.reyes@uwaterloo.ca, vanillaorangesand26
Harry Wallace, harry.wallace@uwaterloo.ca, treewhalequail55
Louis Collins, louis.collins@uwaterloo.ca, lakepeakfig68
James Reynolds, james.reynolds@uwaterloo.ca, bananatreeant92
Louis Patterson, louis.patterson@uwaterloo.ca, umbrellaxigualemon85
Theresa Nguyen, theresa.nguyen@uwaterloo.ca, yakkettlesand77
Cheryl Mitchell, cheryl.mitchell@uwaterloo.ca, antbatearth94
Peter Murray, peter.murray@uwaterloo.ca, zucchinidogwatermelon96
Gerald Gray, gerald.gray@uwaterloo.ca, zucchinizebraturtle68
Jack Russell, jack.russell@uwaterloo.ca, antyellowmango77
Eugene Tran, eugene.tran@uwaterloo.ca, elderberrydoggoat36
Heather Tran, heather.tran@uwaterloo.ca, riverbananabanana11
Kyle Gonzalez, kyle.gonzalez@uwaterloo.ca, lemonbreezedate36
David Long, david.long@uwaterloo.ca, yellownewtxylophone74
Cynthia Harris, cynthia.harris@uwaterloo.ca, frogdateriver96
Ashley Stone, ashley.stone@uwaterloo.ca, quincelemonfrog69
Margaret Wagner, margaret.wagner@uwaterloo.ca, urchindatebreeze22
Wayne Moore, wayne.moore@uwaterloo.ca, dewdatenewt48
Kimberly Scott, kimberly.scott@uwaterloo.ca, nectarinequartzriver77
Arthur Hughes, arthur.hughes@uwaterloo.ca, grapeyakriver46
Kathryn West, kathryn.west@uwaterloo.ca, batzephyrpeak74
Larry Thomas, larry.thomas@uwaterloo.ca, junglehorsezucchini28
Philip Bryant, philip.bryant@uwaterloo.ca, mangonightriver11
Kimberly Washington, kimberly.washington@uwaterloo.ca, peakvalleyiguana93
Mary Johnson, mary.johnson@uwaterloo.ca, xiguanectarinestrawberry42
Samuel Gibson, samuel.gibson@uwaterloo.ca, quailjellyfishvalley19
Judith Burns, judith.burns@uwaterloo.ca, mountainpeakice17
Bryan Cooper, bryan.cooper@uwaterloo.ca, grapesandyellow72
Elizabeth Bell, elizabeth.bell@uwaterloo.ca, earthugliquartz67
Gloria Sanders, gloria.sanders@uwaterloo.ca, umbrellaturtlevanilla18
Tyler Long, tyler.long@uwaterloo.ca, horsejellyfishlemon52
Madison Snyder, madison.snyder@uwaterloo.ca, kiwinightant10
Jerry Walker, jerry.walker@uwaterloo.ca, strawberryflowerhoneydew29
Juan Ortiz, juan.ortiz@uwaterloo.ca, quartzdogpenguin97
Ruth Cole, ruth.cole@uwaterloo.ca, yawncherrytree74
Jordan Ramos, jordan.ramos@uwaterloo.ca, penguinxylophonecat99
Justin Ramos, justin.ramos@uwaterloo.ca, raspberryquailumbrella26
Peter Coleman, peter.coleman@uwaterloo.ca, windwindpeak54
Stanley Ford, stanley.ford@uwaterloo.ca, quartzxylophonedate89
Christian Jackson, christian.jackson@uwaterloo.ca, grapefrognewt11
Ethan Castro, ethan.castro@uwaterloo.ca, jellyfishvulturexigua79
Megan Silva, megan.silva@uwaterloo.ca, honeydewcloudnewt38
Ashley Jimenez, ashley.jimenez@uwaterloo.ca, batelderberryugli75
Christina Jenkins, christina.jenkins@uwaterloo.ca, zucchinivulturehill88
Deborah Ferguson, deborah.ferguson@uwaterloo.ca, bananafroghoneydew74
Patricia Perry, patricia.perry@uwaterloo.ca, flowercloudshark24
Richard Morales, richard.morales@uwaterloo.ca, nectarinehillnewt66
Gabriel Thompson, gabriel.thompson@uwaterloo.ca, lakezebraapple25
John Robertson, john.robertson@uwaterloo.ca, yakzucchinitree92
Jacob Hunt, jacob.hunt1@uwaterloo.ca, urchinstrawberrystrawberry87
Leonard Kim, leonard.kim@uwaterloo.ca, vanillamonkeybat78
Joan Jimenez, joan.jimenez@uwaterloo.ca, lakenewtapple71
Marilyn Vargas, marilyn.vargas@uwaterloo.ca, vanillacherrytangerine84
Janice Smith, janice.smith@uwaterloo.ca, quailfrogturtle28
Angela Sanders, angela.sanders@uwaterloo.ca, quinceorangetangerine54
Douglas Morgan, douglas.morgan@uwaterloo.ca, honeydewpenguinshark18
Albert Alexander, albert.alexander@uwaterloo.ca, jellyfishpeaktangerine75
Albert Diaz, albert.diaz@uwaterloo.ca, owltangerinelemon42
Kelly Gardner, kelly.gardner@uwaterloo.ca, nightwhalecloud15
Cynthia Butler, cynthia.butler@uwaterloo.ca, breezemonkeyturtle49
Alice James, alice.james@uwaterloo.ca, oceanvulturestrawberry86
Scott Medina, scott.medina@uwaterloo.ca, zephyrowlelephant67
Roy Black, roy.black@uwaterloo.ca, lemoniceice95
Sharon Nelson, sharon.nelson@uwaterloo.ca, lionelderberryyawn11
Kenneth Thompson, kenneth.thompson@uwaterloo.ca, battangerineowl68
Beverly Young, beverly.young@uwaterloo.ca, quincecatgrass59
Dennis Webb, dennis.webb@uwaterloo.ca, goatelderberryugli46
Walter Powell, walter.powell@uwaterloo.ca, yakyellowgoat85
Benjamin Ross, benjamin.ross@uwaterloo.ca, flowermonkeybanana24
Kathleen Hamilton, kathleen.hamilton@uwaterloo.ca, peakjunglequartz53
Bruce Hicks, bruce.hicks@uwaterloo.ca, lemonfrogkiwi52
Elizabeth Daniels, elizabeth.daniels@uwaterloo.ca, kiwitangerinepenguin29
Arthur White, arthur.white@uwaterloo.ca, elderberryicebat35
Jeffrey West, jeffrey.west@uwaterloo.ca, xylophonedewjellyfish11
Diana Martin, diana.martin@uwaterloo.ca, frogzebrakiwi77
Kyle Vasquez, kyle.vasquez@uwaterloo.ca, catmountainbat50
Jacqueline Thomas, jacqueline.thomas@uwaterloo.ca, lemonlionhoneydew63
Patrick Daniels, patrick.daniels@uwaterloo.ca, honeydewtreegrass48
Harry James, harry.james@uwaterloo.ca, lakeappleearth55
Kevin Lewis, kevin.lewis@uwaterloo.ca, dogmountaindog80
Frank Roberts, frank.roberts@uwaterloo.ca, quincevanillahill24
Laura Harris, laura.harris@uwaterloo.ca, elderberrybatvulture49
Douglas Moore, douglas.moore@uwaterloo.ca, antquinceyak56
Jerry Barnes, jerry.barnes@uwaterloo.ca, valleypenguinlake67
Laura Morris, laura.morris@uwaterloo.ca, junglevulturewatermelon72
Michelle Kennedy, michelle.kennedy@uwaterloo.ca, xiguatreeiguana21
Bruce Shaw, bruce.shaw@uwaterloo.ca, tangerineearthice14
Julie Sanders, julie.sanders@uwaterloo.ca, xiguapenguincherry97
Charlotte Hicks, charlotte.hicks@uwaterloo.ca, penguinorangevanilla98
Jesse Perez, jesse.perez@uwaterloo.ca, elderberryquailzebra97
Joe Crawford, joe.crawford@uwaterloo.ca, nightappleyawn93
Jacob Green, jacob.green@uwaterloo.ca, quinceflowerzucchini69
Leonard Edwards, leonard.edwards1@uwaterloo.ca, fighoneydewvanilla32
Debra Martin, debra.martin@uwaterloo.ca, nectarineelderberryhoneydew73
Grace Moore, grace.moore@uwaterloo.ca, frogzucchiniearth27
Stephen Nelson, stephen.nelson@uwaterloo.ca, vanillaurchinflower83
Kyle Jones, kyle.jones@uwaterloo.ca, flowersandnectarine69
Heather Diaz, heather.diaz@uwaterloo.ca, quincelemongoat71
Carolyn Martinez, carolyn.martinez@uwaterloo.ca, umbrellatreevalley17
Ruth Ramos, ruth.ramos@uwaterloo.ca, figzucchiniearth83
Donald Ford, donald.ford@uwaterloo.ca, bananazebrakangaroo90
Louis Daniels, louis.daniels@uwaterloo.ca, raspberrycloudflower79
Eric Robinson, eric.robinson@uwaterloo.ca, mountainriverwatermelon81
Lauren Schmidt, lauren.schmidt@uwaterloo.ca, urchinyakkettle28
Jacqueline Salazar, jacqueline.salazar@uwaterloo.ca, xiguaquartzquince32
Jonathan Perez, jonathan.perez@uwaterloo.ca, lakeyakjellyfish89
Jennifer Boyd, jennifer.boyd@uwaterloo.ca, dogappleautumn19
Doris Patterson, doris.patterson@uwaterloo.ca, bananayawnxigua92
Katherine Wilson, katherine.wilson@uwaterloo.ca, kiwibatmango61
Lauren Cole, lauren.cole@uwaterloo.ca, batgrassmountain80
Evelyn Ortiz, evelyn.ortiz@uwaterloo.ca, whalexiguabat27
Jacqueline Adams, jacqueline.adams@uwaterloo.ca, kettledateshark47
Adam Price, adam.price@uwaterloo.ca, windyakdog83
Lori Walker, lori.walker@uwaterloo.ca, zucchiniquincebreeze44
Bruce Ross, bruce.ross@uwaterloo.ca, vulturexiguaelephant74
Janet Wallace, janet.wallace@uwaterloo.ca, hillkettleraspberry54
Linda Carter, linda.carter@uwaterloo.ca, goaticefig57
Barbara Simpson, barbara.simpson@uwaterloo.ca, owlautumnturtle14
Virginia Kim, virginia.kim@uwaterloo.ca, penguinwindvalley70
Ashley Silva, ashley.silva@uwaterloo.ca, flowerriverant95
Grace Wood, grace.wood@uwaterloo.ca, ugliurchinmonkey69
Bruce Porter, bruce.porter@uwaterloo.ca, yawnwhaleearth91
Madison Allen, madison.allen@uwaterloo.ca, yakuglimango49
Margaret Moore, margaret.moore@uwaterloo.ca, orangequartzjungle34
Jack Fox, jack.fox@uwaterloo.ca, watermelonzephyrwind31
Philip Foster, philip.foster@uwaterloo.ca, kiwitangerinenectarine99
Nicholas Perry, nicholas.perry@uwaterloo.ca, yellowkettlehill10
Matthew Snyder, matthew.snyder@uwaterloo.ca, quincelakequince56
Joseph Morales, joseph.morales@uwaterloo.ca, strawberryxerusearth84
Lauren Jones, lauren.jones@uwaterloo.ca, orangefigpeak15
Beverly Burns, beverly.burns@uwaterloo.ca, applemangoowl65
Hannah Bryant, hannah.bryant@uwaterloo.ca, peakgoatcherry79
Ashley Cooper, ashley.cooper1@uwaterloo.ca, dogzephyrpenguin69
Linda Morris, linda.morris@uwaterloo.ca, breezewatermelonpenguin34
Joseph Russell, joseph.russell@uwaterloo.ca, elephantvanillakettle95
Vincent Herrera, vincent.herrera@uwaterloo.ca, rabbithoneydewurchin13
Stephanie Wood, stephanie.wood@uwaterloo.ca, yakkiwiumbrella76
Barbara Simpson, barbara.simpson1@uwaterloo.ca, urchindewdew42
Joyce Sullivan, joyce.sullivan@uwaterloo.ca, newthorsecherry28
Christine Rice, christine.rice@uwaterloo.ca, zebrahorsegrape96
Rebecca Simpson, rebecca.simpson@uwaterloo.ca, windurchincherry76
Alexander Chavez, alexander.chavez@uwaterloo.ca, watermelonmangohorse14
Cheryl Cole, cheryl.cole@uwaterloo.ca, kettledatexylophone87
Nicole Murray, nicole.murray@uwaterloo.ca, hillriveryawn29
Megan Hall, megan.hall@uwaterloo.ca, owldewpenguin51
Catherine Stevens, catherine.stevens@uwaterloo.ca, hilljunglelake72
Angela Ramos, angela.ramos@uwaterloo.ca, dewautumnvanilla49
Nancy Stephens, nancy.stephens@uwaterloo.ca, yakwatermelonbat61
Brittany Vargas, brittany.vargas@uwaterloo.ca, riverbreezeurchin22
Christopher Ford, christopher.ford@uwaterloo.ca, mangogoatlemon31
Emily Wilson, emily.wilson@uwaterloo.ca, dogzebrapeak63
Bryan Coleman, bryan.coleman@uwaterloo.ca, earthzephyrnewt79
Janice West, janice.west@uwaterloo.ca, nectarinetreelake97
Samantha Wilson, samantha.wilson@uwaterloo.ca, valleyriverpapaya19
Joshua Castillo, joshua.castillo@uwaterloo.ca, watermelonelderberrywatermelon41
Leonard Sanders, leonard.sanders@uwaterloo.ca, icebatyak48
Gabriel Baker, gabriel.baker@uwaterloo.ca, penguinyawnfrog18
Donald Wright, donald.wright@uwaterloo.ca, cloudraspberryzucchini31
Ryan Munoz, ryan.munoz@uwaterloo.ca, windhillvulture87
Patrick Howard, patrick.howard@uwaterloo.ca, vulturewatermelonjellyfish68
Diane Mendoza, diane.mendoza@uwaterloo.ca, xylophonejunglexylophone44
Tyler Coleman, tyler.coleman@uwaterloo.ca, jellyfishappleyawn88
Sara Long, sara.long@uwaterloo.ca, nighticevulture29
Amy Evans, amy.evans@uwaterloo.ca, datemountainhill55
James Gibson, james.gibson@uwaterloo.ca, cherryzebraorange46
Beverly Gordon, beverly.gordon@uwaterloo.ca, yellowcherryzebra52
Carl Taylor, carl.taylor@uwaterloo.ca, tangerinequartzbat25
Dorothy Ortiz, dorothy.ortiz@uwaterloo.ca, vanillanewtrabbit94
Stephen Rice, stephen.rice@uwaterloo.ca, watermelonpenguinkangaroo34
Nicholas James, nicholas.james1@uwaterloo.ca, zebradatehill15
Mark Patel, mark.patel@uwaterloo.ca, quincelakeflower39
Abigail Alexander, abigail.alexander@uwaterloo.ca, orangeowlhill66
Rebecca Robinson, rebecca.robinson@uwaterloo.ca, lemonhoneydewhill77
Brian Cox, brian.cox@uwaterloo.ca, monkeysharkyak48
Jerry Hayes, jerry.hayes@uwaterloo.ca, fignightumbrella92
Juan Jenkins, juan.jenkins@uwaterloo.ca, penguindatehill88
Brian Ruiz, brian.ruiz@uwaterloo.ca, newtoceanquince42
Ethan Fisher, ethan.fisher@uwaterloo.ca, junglevanillayellow50
Alice Morales, alice.morales@uwaterloo.ca, zucchiniriverquartz70
Isabella Jordan, isabella.jordan@uwaterloo.ca, whalegoatapple27
Frank Medina, frank.medina@uwaterloo.ca, yawnlionriver63
Eric Roberts, eric.roberts@uwaterloo.ca, lakeriverdew22
Charles Reed, charles.reed@uwaterloo.ca, zucchinidatenewt51
Gabriel Rice, gabriel.rice1@uwaterloo.ca, breezevalleycloud80
Joshua Bailey, joshua.bailey@uwaterloo.ca, uglixylophonejellyfish34
Andrea Romero, andrea.romero@uwaterloo.ca, urchinautumnsand20
Megan Young, megan.young@uwaterloo.ca, zephyrraspberrywind45
Andrea Meyer, andrea.meyer@uwaterloo.ca, xiguapapayakiwi65
Joshua Perry, joshua.perry@uwaterloo.ca, umbrellafigorange21
Sophia Wallace, sophia.wallace@uwaterloo.ca, riverpeakfrog81
Lori Mason, lori.mason@uwaterloo.ca, cloudyellowflower32
Mary Coleman, mary.coleman@uwaterloo.ca, jellyfishrabbitquartz60
Frances Ford, frances.ford@uwaterloo.ca, kangarooelephantgoat38
Nathan Hunter, nathan.hunter@uwaterloo.ca, yawnkettlecat69
Eugene Thompson, eugene.thompson@uwaterloo.ca, datefrograspberry41
Dorothy Reyes, dorothy.reyes@uwaterloo.ca, ugliyakpapaya21
Debra Harris, debra.harris@uwaterloo.ca, monkeycatocean97
Kevin Freeman, kevin.freeman@uwaterloo.ca, turtleorangeelephant94
Julia Carter, julia.carter@uwaterloo.ca, watermeloniguanaquartz11
Lawrence Ryan, lawrence.ryan@uwaterloo.ca, monkeyhorsewind80
Wayne Dixon, wayne.dixon@uwaterloo.ca, nectarineriverrabbit75
Mary Price, mary.price@uwaterloo.ca, lionjellyfishowl46
Charles Hall, charles.hall@uwaterloo.ca, frogearthquail20
Johnny Gibson, johnny.gibson@uwaterloo.ca, urchintangerinehill68
Anna Williams, anna.williams@uwaterloo.ca, jungleowllake50
Lauren Watson, lauren.watson@uwaterloo.ca, watermelonelderberryorange45
Michelle Myers, michelle.myers@uwaterloo.ca, nightdewyawn57
Elizabeth Morgan, elizabeth.morgan@uwaterloo.ca, tangerinezebrajellyfish27
Gary Lewis, gary.lewis@uwaterloo.ca, earthkiwiowl37
Juan Ferguson, juan.ferguson@uwaterloo.ca, earthkangaroougli29
Larry Hayes, larry.hayes@uwaterloo.ca, honeydewmountainugli74
Daniel Parker, daniel.parker@uwaterloo.ca, quartzmountainmountain46
Nathan White, nathan.white@uwaterloo.ca, owlurchinzucchini21
Jonathan Mason, jonathan.mason@uwaterloo.ca, dograspberryhoneydew33
Melissa Vargas, melissa.vargas@uwaterloo.ca, mangovulturecherry32
Michelle Kennedy, michelle.kennedy1@uwaterloo.ca, zucchinizucchiniquince33
Leonard Black, leonard.black@uwaterloo.ca, jellyfishcherryurchin22
Megan Henderson, megan.henderson@uwaterloo.ca, monkeyxerusriver57
Jacob Mcdonald, jacob.mcdonald@uwaterloo.ca, grasspeakgoat91
Alan Robertson, alan.robertson@uwaterloo.ca, xerusriverkettle41
Jean Hunter, jean.hunter@uwaterloo.ca, applelionbreeze57
Raymond Gray, raymond.gray1@uwaterloo.ca, dogvanillapeak55
Michael Jordan, michael.jordan@uwaterloo.ca, yawnxerustangerine92
William Stewart, william.stewart@uwaterloo.ca, horsewatermeloncat38
Russell Rodriguez, russell.rodriguez@uwaterloo.ca, rabbitquailmango23
Kathleen Fernandez, kathleen.fernandez@uwaterloo.ca, xerusjungleyawn77
Martha Alvarez, martha.alvarez@uwaterloo.ca, strawberrymountainfrog35
Raymond Edwards, raymond.edwards@uwaterloo.ca, orangesharkbanana59
Brittany Dixon, brittany.dixon@uwaterloo.ca, cloudkettleowl36
Andrea Salazar, andrea.salazar@uwaterloo.ca, uglikiwinight25
Betty Price, betty.price@uwaterloo.ca, horseowlriver57
Debra Thomas, debra.thomas@uwaterloo.ca, junglekettleant61
Evelyn Sullivan, evelyn.sullivan@uwaterloo.ca, jellyfishgrasskiwi13
Sean Lewis, sean.lewis@uwaterloo.ca, flowerelderberrytangerine57
Heather Ross, heather.ross@uwaterloo.ca, iguanakiwiowl28
Frank Campbell, frank.campbell@uwaterloo.ca, quartzbreezefig85
David Fernandez, david.fernandez@uwaterloo.ca, yellowmonkeyxigua63
Kelly Lewis, kelly.lewis@uwaterloo.ca, quaildewvanilla63
Adam Long, adam.long@uwaterloo.ca, antmonkeyquince22
Alexis Rice, alexis.rice@uwaterloo.ca, elderberrymonkeymountain42
Evelyn Silva, evelyn.silva@uwaterloo.ca, oceanicehill14
Ralph Medina, ralph.medina@uwaterloo.ca, breezekettleumbrella94
Dylan Harris, dylan.harris@uwaterloo.ca, honeydewrivervanilla27
Harold Porter, harold.porter@uwaterloo.ca, mountainappledew27
Barbara Gomez, barbara.gomez@uwaterloo.ca, horseelderberryflower17
Nathan Aguilar, nathan.aguilar@uwaterloo.ca, flowerlemondew55
Charlotte Rodriguez, charlotte.rodriguez@uwaterloo.ca, frogtreemango57
Laura Gardner, laura.gardner@uwaterloo.ca, nectarinegrapeapple47
Joyce Boyd, joyce.boyd@uwaterloo.ca, bananaquinceumbrella65
Brittany Brooks, brittany.brooks@uwaterloo.ca, nightquailquince19
Stephen Garcia, stephen.garcia@uwaterloo.ca, quailhillsand29
Stephen Cooper, stephen.cooper@uwaterloo.ca, applekangarooorange68
Frances Morales, frances.morales@uwaterloo.ca, cherryfigautumn31
Linda Powell, linda.powell@uwaterloo.ca, lionelderberryturtle15
Emily Freeman, emily.freeman@uwaterloo.ca, owlcherrymonkey16
Jessica Kim, jessica.kim@uwaterloo.ca, junglequailyak81
Jonathan Murray, jonathan.murray@uwaterloo.ca, yawnjunglevalley46
Jeremy Wells, jeremy.wells@uwaterloo.ca, zephyryakbanana32
Donna Tran, donna.tran@uwaterloo.ca, datevalleydog24
Amanda Thompson, amanda.thompson@uwaterloo.ca, jungledewtangerine49
Edward Gutierrez, edward.gutierrez@uwaterloo.ca, mangoyawnhill20
Lawrence Wright, lawrence.wright@uwaterloo.ca, strawberrybreezezephyr97
Joan Wagner, joan.wagner@uwaterloo.ca, penguinbananahill68
Abigail Porter, abigail.porter@uwaterloo.ca, xiguatangerinedate70
Grace Patterson, grace.patterson@uwaterloo.ca, yakmonkeygrape10
Helen Sullivan, helen.sullivan@uwaterloo.ca, cherrysharklion15
Jacob Wagner, jacob.wagner@uwaterloo.ca, yellowgoattangerine77
Timothy Foster, timothy.foster@uwaterloo.ca, zucchinigrapecat77
Rebecca Cruz, rebecca.cruz@uwaterloo.ca, quailautumnmango12
Jordan Price, jordan.price@uwaterloo.ca, batearthumbrella25
Keith Harrison, keith.harrison@uwaterloo.ca, rabbitraspberrypenguin89
Henry Butler, henry.butler@uwaterloo.ca, oceanquailhill72
Aaron Thomas, aaron.thomas@uwaterloo.ca, autumnmonkeyhoneydew33
David Reyes, david.reyes@uwaterloo.ca, owlzephyrvulture77
Virginia Alexander, virginia.alexander@uwaterloo.ca, umbrellazebrahorse80
Eric Moreno, eric.moreno@uwaterloo.ca, umbrellawatermelonxerus71
Harold Mason, harold.mason@uwaterloo.ca, bananapenguinbreeze79
Deborah Gray, deborah.gray@uwaterloo.ca, lemonhillgrape63
Pamela Marshall, pamela.marshall@uwaterloo.ca, urchinzebratangerine94
Danielle Tran, danielle.tran@uwaterloo.ca, autumnbananaowl78
Nicholas Stone, nicholas.stone@uwaterloo.ca, flowerriverzebra31
Diana Peterson, diana.peterson@uwaterloo.ca, mangooceanocean29
Danielle Gonzales, danielle.gonzales@uwaterloo.ca, junglehilldew42
Keith Bryant, keith.bryant@uwaterloo.ca, peakugliwatermelon75
Charlotte Rose, charlotte.rose@uwaterloo.ca, xiguajellyfishsand54
Judy Price, judy.price@uwaterloo.ca, datexeruselderberry42
Nancy Morris, nancy.morris@uwaterloo.ca, uglielephanthoneydew46
Nancy Sullivan, nancy.sullivan@uwaterloo.ca, nectarineicemountain65
Sarah Bennett, sarah.bennett@uwaterloo.ca, elephantsandriver11
Deborah Fisher, deborah.fisher@uwaterloo.ca, peakpenguingoat37
Gregory Allen, gregory.allen@uwaterloo.ca, batwhaledate50
Doris Sanchez, doris.sanchez@uwaterloo.ca, cloudvanillavanilla27
Ethan Castro, ethan.castro1@uwaterloo.ca, xerusquartzpeak92
Patrick Gibson, patrick.gibson@uwaterloo.ca, mangosandbat22
Jennifer Moore, jennifer.moore@uwaterloo.ca, mountainquailriver17
Christian Washington, christian.washington@uwaterloo.ca, kiwijellyfishcloud68
Gabriel Hughes, gabriel.hughes@uwaterloo.ca, elderberryiceocean10
Victoria Ramos, victoria.ramos@uwaterloo.ca, vultureiguanapeak51
Jacob Stewart, jacob.stewart@uwaterloo.ca, jellyfishmonkeyurchin38
Jennifer Cook, jennifer.cook@uwaterloo.ca, iguanadogice91
Gerald Collins, gerald.collins@uwaterloo.ca, turtlejellyfishmountain67
Alan Alexander, alan.alexander@uwaterloo.ca, zebrariverugli38
Kathryn Mcdonald, kathryn.mcdonald@uwaterloo.ca, orangeoceanmango85
Terry Parker, terry.parker@uwaterloo.ca, antraspberryquail53
Julia Howard, julia.howard@uwaterloo.ca, urchinkangarooflower12
Benjamin Butler, benjamin.butler@uwaterloo.ca, peakfigice54
Jean Peterson, jean.peterson@uwaterloo.ca, datebreezenewt38
Jordan Daniels, jordan.daniels@uwaterloo.ca, vanillatreenight55
Kayla Hicks, kayla.hicks@uwaterloo.ca, jellyfishgoatmountain64
Jordan Kelly, jordan.kelly@uwaterloo.ca, xylophoneraspberrydew40
Nancy Kelly, nancy.kelly@uwaterloo.ca, quailxerusvulture19
Michael Kennedy, michael.kennedy@uwaterloo.ca, riverbananatree57
Brenda Carter, brenda.carter@uwaterloo.ca, treexerusgrass58
Edward Castillo, edward.castillo@uwaterloo.ca, oceanurchinraspberry37
Natalie Hicks, natalie.hicks@uwaterloo.ca, yawnjellyfishcloud64
Tyler Boyd, tyler.boyd@uwaterloo.ca, umbrellafigurchin76
Gloria Jimenez, gloria.jimenez@uwaterloo.ca, bananadogumbrella86
John Weaver, john.weaver@uwaterloo.ca, watermelonyellowlemon11
Eric Woods, eric.woods@uwaterloo.ca, kangarooxylophonevanilla17
Jeffrey Silva, jeffrey.silva@uwaterloo.ca, kiwixiguagrass70
